timestep,id,x,y,angle,speed,type
0.00,bike11.0,11.566442,48.134121,335.264246,0.000000,bicycle
1.00,bike11.0,11.566440,48.134125,335.264246,0.496433,bicycle
2.00,bike11.0,11.566435,48.134134,335.264246,0.982947,bicycle
3.00,bike11.0,11.566427,48.134146,335.264246,1.466198,bicycle
4.00,bike11.0,11.566417,48.134162,335.264246,1.961788,bicycle
5.00,bike11.0,11.566404,48.134182,335.264246,2.391618,bicycle
6.00,bike11.0,11.566390,48.134204,335.264246,2.686250,bicycle
6.00,bike11.1,11.566442,48.134121,335.264246,0.000000,bicycle
7.00,bike11.0,11.566375,48.134229,335.264246,3.005864,bicycle
7.00,bike11.1,11.566441,48.134124,335.264246,0.304021,bicycle
8.00,bike11.0,11.566357,48.134257,335.264246,3.431737,bicycle
8.00,bike11.1,11.566437,48.134130,335.264246,0.769988,bicycle
9.00,bike11.0,11.566337,48.134289,335.264246,3.782844,bicycle
9.00,bike11.1,11.566431,48.134140,335.264246,1.182919,bicycle
10.00,bike11.0,11.566316,48.134322,335.264246,4.056880,bicycle
10.00,bike11.1,11.566423,48.134152,335.264246,1.478836,bicycle
11.00,bike11.0,11.566292,48.134360,335.264246,4.499626,bicycle
11.00,bike11.1,11.566413,48.134167,335.264246,1.819714,bicycle
12.00,bike11.0,11.566267,48.134401,335.264246,4.956371,bicycle
12.00,bike11.1,11.566402,48.134186,335.264246,2.249989,bicycle
12.00,bike11.2,11.566442,48.134121,335.264246,0.000000,bicycle
13.00,bike11.0,11.566239,48.134445,335.264246,5.375277,bicycle
13.00,bike11.1,11.566388,48.134207,335.264246,2.569441,bicycle
13.00,bike11.2,11.566440,48.134125,335.264246,0.472848,bicycle
14.00,bike11.0,11.566208,48.134493,335.264246,5.787560,bicycle
14.00,bike11.1,11.566372,48.134233,335.264246,3.055531,bicycle
14.00,bike11.2,11.566435,48.134133,335.264246,0.885129,bicycle
15.00,bike11.0,11.566178,48.134541,335.264246,5.778620,bicycle
15.00,bike11.1,11.566354,48.134262,335.264246,3.511420,bicycle
15.00,bike11.2,11.566429,48.134143,335.264246,1.222128,bicycle
16.00,bike11.0,11.566147,48.134590,335.264246,5.937282,bicycle
16.00,bike11.1,11.566333,48.134295,335.264246,3.964892,bicycle
16.00,bike11.2,11.566421,48.134155,335.264246,1.524902,bicycle
17.00,bike11.0,11.566116,48.134640,335.264246,5.926164,bicycle
17.00,bike11.1,11.566310,48.134331,335.264246,4.431424,bicycle
17.00,bike11.2,11.566411,48.134170,335.264246,1.809910,bicycle
18.00,bike11.0,11.566085,48.134689,335.264246,5.992634,bicycle
18.00,bike11.1,11.566285,48.134372,335.264246,4.895118,bicycle
18.00,bike11.2,11.566400,48.134189,335.264246,2.225148,bicycle
18.00,bike11.3,11.566442,48.134121,335.264246,0.000000,bicycle
19.00,bike11.0,11.566055,48.134737,335.264246,5.806144,bicycle
19.00,bike11.1,11.566257,48.134416,335.264246,5.302534,bicycle
19.00,bike11.2,11.566386,48.134211,335.264246,2.705801,bicycle
19.00,bike11.3,11.566440,48.134124,335.264246,0.383815,bicycle
20.00,bike11.0,11.566024,48.134787,335.264246,5.976004,bicycle
20.00,bike11.1,11.566228,48.134463,335.264246,5.680805,bicycle
20.00,bike11.2,11.566370,48.134237,335.264246,3.059490,bicycle
20.00,bike11.3,11.566436,48.134131,335.264246,0.818391,bicycle
21.00,bike11.0,11.565994,48.134835,335.264246,5.773634,bicycle
21.00,bike11.1,11.566197,48.134512,335.264246,5.942896,bicycle
21.00,bike11.2,11.566351,48.134266,335.264246,3.534838,bicycle
21.00,bike11.3,11.566429,48.134142,335.264246,1.278102,bicycle
22.00,bike11.0,11.565964,48.134883,335.264246,5.802876,bicycle
22.00,bike11.1,11.566165,48.134562,335.264246,5.972529,bicycle
22.00,bike11.2,11.566331,48.134298,335.264246,3.880489,bicycle
22.00,bike11.3,11.566420,48.134156,335.264246,1.721649,bicycle
23.00,bike11.0,11.565932,48.134932,335.264246,5.954884,bicycle
23.00,bike11.1,11.566135,48.134610,335.264246,5.873211,bicycle
23.00,bike11.2,11.566310,48.134332,335.264246,4.154554,bicycle
23.00,bike11.3,11.566410,48.134173,335.264246,2.056644,bicycle
24.00,bike11.0,11.565902,48.134981,335.264246,5.879661,bicycle
24.00,bike11.1,11.566104,48.134659,335.264246,5.909607,bicycle
24.00,bike11.2,11.566286,48.134369,335.264246,4.435098,bicycle
24.00,bike11.3,11.566397,48.134193,335.264246,2.374936,bicycle
24.00,bike11.4,11.566442,48.134121,335.264246,0.000000,bicycle
25.00,bike11.0,11.565871,48.135030,335.264246,5.894881,bicycle
25.00,bike11.1,11.566074,48.134707,335.264246,5.755958,bicycle
25.00,bike11.2,11.566262,48.134408,335.264246,4.688230,bicycle
25.00,bike11.3,11.566383,48.134215,335.264246,2.694104,bicycle
25.00,bike11.4,11.566440,48.134124,335.264246,0.366176,bicycle
26.00,bike11.0,11.565840,48.135079,334.593142,5.925933,bicycle
26.00,bike11.1,11.566043,48.134756,335.264246,5.872050,bicycle
26.00,bike11.2,11.566236,48.134450,335.264246,5.002383,bicycle
26.00,bike11.3,11.566367,48.134240,335.264246,3.042610,bicycle
26.00,bike11.4,11.566436,48.134131,335.264246,0.785482,bicycle
27.00,bike11.0,11.565809,48.135126,334.593142,5.782269,bicycle
27.00,bike11.1,11.566013,48.134805,335.264246,5.884956,bicycle
27.00,bike11.2,11.566208,48.134494,335.264246,5.374287,bicycle
27.00,bike11.3,11.566350,48.134269,335.264246,3.406496,bicycle
27.00,bike11.4,11.566430,48.134141,335.264246,1.209566,bicycle
28.00,bike11.0,11.565777,48.135176,334.593142,5.959128,bicycle
28.00,bike11.1,11.565982,48.134853,335.264246,5.824822,bicycle
28.00,bike11.2,11.566178,48.134542,335.264246,5.750799,bicycle
28.00,bike11.3,11.566329,48.134301,335.264246,3.900597,bicycle
28.00,bike11.4,11.566422,48.134154,335.264246,1.545535,bicycle
29.00,bike11.0,11.565745,48.135225,334.593142,5.953972,bicycle
29.00,bike11.1,11.565952,48.134901,335.264246,5.841540,bicycle
29.00,bike11.2,11.566148,48.134590,335.264246,5.802102,bicycle
29.00,bike11.3,11.566308,48.134336,335.264246,4.180725,bicycle
29.00,bike11.4,11.566412,48.134170,335.264246,1.907534,bicycle
30.00,bike11.0,11.565713,48.135273,334.593142,5.898482,bicycle
30.00,bike11.1,11.565922,48.134949,335.264246,5.787164,bicycle
30.00,bike11.2,11.566117,48.134638,335.264246,5.847133,bicycle
30.00,bike11.3,11.566284,48.134374,335.264246,4.578564,bicycle
30.00,bike11.4,11.566400,48.134189,335.264246,2.363805,bicycle
30.00,bike11.5,11.566442,48.134121,335.264246,0.000000,bicycle
31.00,bike11.0,11.565682,48.135322,334.573564,5.888329,bicycle
31.00,bike11.1,11.565891,48.134998,335.264246,5.938998,bicycle
31.00,bike11.2,11.566086,48.134687,335.264246,5.930403,bicycle
31.00,bike11.3,11.566258,48.134414,335.264246,4.871966,bicycle
31.00,bike11.4,11.566386,48.134211,335.264246,2.680059,bicycle
31.00,bike11.5,11.566441,48.134124,335.264246,0.315152,bicycle
32.00,bike11.0,11.565650,48.135371,334.573564,5.938821,bicycle
32.00,bike11.1,11.565859,48.135048,334.886852,5.980554,bicycle
32.00,bike11.2,11.566055,48.134737,335.264246,5.965213,bicycle
32.00,bike11.3,11.566231,48.134458,335.264246,5.266309,bicycle
32.00,bike11.4,11.566370,48.134236,335.264246,2.937123,bicycle
32.00,bike11.5,11.566438,48.134129,335.264246,0.591673,bicycle
33.00,bike11.0,11.565619,48.135419,334.573564,5.817579,bicycle
33.00,bike11.1,11.565828,48.135096,334.593142,5.844316,bicycle
33.00,bike11.2,11.566025,48.134785,335.264246,5.844468,bicycle
33.00,bike11.3,11.566201,48.134505,335.264246,5.670626,bicycle
33.00,bike11.4,11.566353,48.134263,335.264246,3.298792,bicycle
33.00,bike11.5,11.566433,48.134137,335.264246,0.969588,bicycle
34.00,bike11.0,11.565588,48.135467,336.744732,5.855210,bicycle
34.00,bike11.1,11.565796,48.135146,334.593142,5.993758,bicycle
34.00,bike11.2,11.565994,48.134834,335.264246,5.876538,bicycle
34.00,bike11.3,11.566171,48.134553,335.264246,5.809884,bicycle
34.00,bike11.4,11.566335,48.134293,335.264246,3.586122,bicycle
34.00,bike11.5,11.566426,48.134148,335.264246,1.289970,bicycle
35.00,bike11.0,11.565559,48.135517,336.744732,5.921334,bicycle
35.00,bike11.1,11.565765,48.135194,334.593142,5.820772,bicycle
35.00,bike11.2,11.565963,48.134883,335.264246,5.911188,bicycle
35.00,bike11.3,11.566141,48.134601,335.264246,5.807366,bicycle
35.00,bike11.4,11.566315,48.134325,335.264246,3.839709,bicycle
35.00,bike11.5,11.566417,48.134161,335.264246,1.661439,bicycle
36.00,bike11.0,11.565530,48.135567,336.744732,5.939308,bicycle
36.00,bike11.1,11.565733,48.135243,334.593142,5.957788,bicycle
36.00,bike11.2,11.565933,48.134932,335.264246,5.904128,bicycle
36.00,bike11.3,11.566110,48.134649,335.264246,5.829606,bicycle
36.00,bike11.4,11.566292,48.134360,335.264246,4.255889,bicycle
36.00,bike11.5,11.566407,48.134177,335.264246,1.945709,bicycle
36.00,bike11.6,11.566442,48.134121,335.264246,0.000000,bicycle
37.00,bike11.0,11.565501,48.135616,336.744732,5.915559,bicycle
37.00,bike11.1,11.565702,48.135290,334.588852,5.786772,bicycle
37.00,bike11.2,11.565902,48.134980,335.264246,5.792130,bicycle
37.00,bike11.3,11.566080,48.134698,335.264246,5.923578,bicycle
37.00,bike11.4,11.566268,48.134398,335.264246,4.620470,bicycle
37.00,bike11.5,11.566395,48.134197,335.264246,2.332355,bicycle
37.00,bike11.6,11.566440,48.134125,335.264246,0.455370,bicycle
38.00,bike11.0,11.565473,48.135666,336.744732,5.907796,bicycle
38.00,bike11.1,11.565671,48.135338,334.573564,5.806808,bicycle
38.00,bike11.2,11.565872,48.135029,335.264246,5.877933,bicycle
38.00,bike11.3,11.566048,48.134748,335.264246,5.975359,bicycle
38.00,bike11.4,11.566243,48.134439,335.264246,4.924913,bicycle
38.00,bike11.5,11.566380,48.134220,335.264246,2.789915,bicycle
38.00,bike11.6,11.566435,48.134132,335.264246,0.888930,bicycle
39.00,bike11.0,11.565445,48.135715,337.613271,5.798580,bicycle
39.00,bike11.1,11.565639,48.135387,334.573564,5.936633,bicycle
39.00,bike11.2,11.565841,48.135076,334.593142,5.771193,bicycle
39.00,bike11.3,11.566018,48.134796,335.264246,5.795700,bicycle
39.00,bike11.4,11.566215,48.134483,335.264246,5.312349,bicycle
39.00,bike11.5,11.566363,48.134247,335.264246,3.277549,bicycle
39.00,bike11.6,11.566429,48.134142,335.264246,1.169443,bicycle
40.00,bike11.0,11.565417,48.135765,337.613271,5.967616,bicycle
40.00,bike11.1,11.565608,48.135435,334.573564,5.792304,bicycle
40.00,bike11.2,11.565809,48.135125,334.593142,5.898819,bicycle
40.00,bike11.3,11.565987,48.134845,335.264246,5.922867,bicycle
40.00,bike11.4,11.566186,48.134530,335.264246,5.640869,bicycle
40.00,bike11.5,11.566344,48.134278,335.264246,3.709215,bicycle
40.00,bike11.6,11.566421,48.134155,335.264246,1.519350,bicycle
41.00,bike11.0,11.565389,48.135814,337.613271,5.794490,bicycle
41.00,bike11.1,11.565578,48.135485,336.744732,5.986626,bicycle
41.00,bike11.2,11.565778,48.135174,334.593142,5.920767,bicycle
41.00,bike11.3,11.565957,48.134893,335.264246,5.765518,bicycle
41.00,bike11.4,11.566155,48.134578,335.264246,5.763932,bicycle
41.00,bike11.5,11.566322,48.134312,335.264246,4.156047,bicycle
41.00,bike11.6,11.566412,48.134170,335.264246,1.786573,bicycle
42.00,bike11.0,11.565362,48.135863,337.613271,5.880513,bicycle
42.00,bike11.1,11.565549,48.135535,336.744732,5.977331,bicycle
42.00,bike11.2,11.565746,48.135223,334.593142,5.912598,bicycle
42.00,bike11.3,11.565926,48.134942,335.264246,5.936605,bicycle
42.00,bike11.4,11.566125,48.134627,335.264246,5.927534,bicycle
42.00,bike11.5,11.566298,48.134351,335.264246,4.647010,bicycle
42.00,bike11.6,11.566401,48.134187,335.264246,2.120181,bicycle
42.00,bike11.7,11.566442,48.134121,335.264246,0.000000,bicycle
43.00,bike11.0,11.565334,48.135912,337.592309,5.847171,bicycle
43.00,bike11.1,11.565520,48.135585,336.744732,5.996011,bicycle
43.00,bike11.2,11.565715,48.135271,334.593142,5.879164,bicycle
43.00,bike11.3,11.565896,48.134991,335.264246,5.911626,bicycle
43.00,bike11.4,11.566093,48.134676,335.264246,5.983406,bicycle
43.00,bike11.5,11.566272,48.134393,335.264246,5.076940,bicycle
43.00,bike11.6,11.566388,48.134208,335.264246,2.529385,bicycle
43.00,bike11.7,11.566440,48.134125,335.264246,0.445419,bicycle
44.00,bike11.0,11.565307,48.135962,337.592309,5.902110,bicycle
44.00,bike11.1,11.565490,48.135636,336.744732,5.991973,bicycle
44.00,bike11.2,11.565683,48.135319,334.573564,5.844830,bicycle
44.00,bike11.3,11.565865,48.135039,335.249205,5.797405,bicycle
44.00,bike11.4,11.566063,48.134724,335.264246,5.750164,bicycle
44.00,bike11.5,11.566243,48.134438,335.264246,5.394015,bicycle
44.00,bike11.6,11.566372,48.134233,335.264246,2.955072,bicycle
44.00,bike11.7,11.566436,48.134132,335.264246,0.853193,bicycle
44.00,pint05,11.568260,48.140172,311.277623,8.330000,passenger
45.00,bike11.0,11.565293,48.136013,352.216129,5.765664,bicycle
45.00,bike11.1,11.565462,48.135684,336.744732,5.786324,bicycle
45.00,bike11.2,11.565651,48.135368,334.573564,5.945048,bicycle
45.00,bike11.3,11.565833,48.135088,334.593142,5.984641,bicycle
45.00,bike11.4,11.566033,48.134772,335.264246,5.842227,bicycle
45.00,bike11.5,11.566213,48.134486,335.264246,5.892093,bicycle
45.00,bike11.6,11.566355,48.134260,335.264246,3.307468,bicycle
45.00,bike11.7,11.566429,48.134143,335.264246,1.258330,bicycle
45.00,pint05,11.568173,48.140219,305.073754,8.330000,passenger
46.00,bike11.0,11.565285,48.136065,352.216129,5.780351,bicycle
46.00,bike11.1,11.565434,48.135734,337.613271,5.947721,bicycle
46.00,bike11.2,11.565620,48.135417,334.573564,5.856480,bicycle
